,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,20,3
34,21,3
35,22,3
36,23,3
37,23,4
38,23,5
39,22,5
40,21,5
41,21,6
42,21,7
43,20,7
44,19,7
45,19,8
46,19,9
47,18,9
48,17,9
49,17,10
50,17,11
51,18,11
52,19,11
53,18,11
54,19,11
55,20,11
56,21,11
57,21,10
58,21,9
59,22,9
60,23,9
61,24,9
62,25,9
63,25,8
64,25,7
65,25,6
66,25,5
67,26,5
68,27,5
69,28,5
70,29,5
71,30,5
72,31,5
73,32,5
74,33,5
75,34,5
76,35,5
77,35,6
78,35,7
79,34,7
80,33,7
81,33,8
82,33,9
83,32,9
84,31,9
85,30,9
86,29,9
87,29,8
88,29,7
89,28,7
90,27,7
91,27,8
92,27,9
93,27,10
94,27,9
95,27,10
96,27,11
97,27,12
98,27,13
99,28,13
100,29,13
101,29,14
102,29,15
103,28,15
104,27,15
105,26,15
106,25,15
107,24,15
108,23,15
109,23,14
110,23,13
111,22,13
112,21,13
113,21,14
114,21,13
115,21,14
116,21,15
117,20,15
118,19,15
119,19,16
120,19,17
121,18,17
122,17,17
123,16,17
124,15,17
125,14,17
126,13,17
127,12,17
128,11,17
129,11,16
130,11,17
131,11,16
132,11,15
133,11,14
134,11,13
135,10,13
136,9,13
137,9,14
138,9,15
139,8,15
140,7,15
141,7,16
142,7,17
143,7,18
144,7,19
145,8,19
146,9,19
147,9,20
148,9,21
149,8,21
150,7,21
151,6,21
152,5,21
153,5,20
154,5,19
155,4,19
156,3,19
157,3,18
158,3,17
159,3,16
160,3,15
161,2,15
162,1,15
163,1,16
164,1,17
165,1,18
166,1,19
167,1,20
168,1,21
169,2,21
170,3,21
171,3,22
172,3,23
173,3,24
174,3,25
175,2,25
176,1,25
177,1,26
178,1,27
179,2,27
180,3,27
181,4,27
182,5,27
183,6,27
184,7,27
185,8,27
186,9,27
187,10,27
188,11,27
189,12,27
190,13,27
191,13,26
192,13,25
193,13,24
194,13,23
195,12,23
196,11,23
197,11,22
198,11,21
199,12,21
200,13,21
201,14,21
202,15,21
203,15,20
204,15,19
205,16,19
206,17,19
207,18,19
208,19,19
209,20,19
210,21,19
211,22,19
212,23,19
213,23,18
214,23,17
215,24,17
216,25,17
