,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,20,3
34,21,3
35,22,3
36,23,3
37,23,4
38,23,5
39,22,5
40,21,5
41,21,6
42,21,7
43,20,7
44,19,7
45,19,8
46,19,9
47,18,9
48,17,9
49,17,10
50,17,11
51,18,11
52,19,11
53,20,11
54,21,11
55,21,10
56,21,9
57,22,9
58,23,9
59,24,9
60,25,9
61,25,8
62,25,7
63,25,6
64,25,5
65,26,5
66,27,5
67,28,5
68,29,5
69,30,5
70,31,5
71,32,5
72,33,5
73,34,5
74,35,5
75,35,6
76,35,7
77,34,7
78,33,7
79,33,8
80,33,9
81,32,9
82,31,9
83,30,9
84,29,9
85,29,8
86,29,7
87,28,7
88,27,7
89,27,8
90,27,9
91,27,10
92,27,11
93,27,12
94,27,13
95,28,13
96,29,13
97,29,14
98,29,15
99,28,15
100,27,15
101,26,15
102,25,15
103,24,15
104,23,15
105,23,14
106,23,13
107,22,13
108,21,13
109,21,14
110,21,15
111,20,15
112,19,15
113,19,16
114,19,17
115,18,17
116,17,17
117,16,17
118,15,17
119,14,17
120,13,17
121,12,17
122,11,17
123,11,16
124,11,15
125,11,14
126,11,13
127,10,13
128,9,13
129,9,14
130,9,15
131,8,15
132,7,15
133,7,16
134,7,17
135,7,18
136,7,19
137,8,19
138,9,19
139,9,20
140,9,21
141,8,21
142,7,21
143,6,21
144,5,21
145,5,20
146,5,19
147,4,19
148,3,19
149,3,18
150,3,17
151,3,16
152,3,15
153,2,15
154,1,15
155,1,16
156,1,17
157,1,18
158,1,19
159,1,20
160,1,21
161,2,21
162,3,21
163,3,22
164,3,23
165,3,24
166,3,25
167,2,25
168,1,25
169,1,26
170,1,27
171,2,27
172,3,27
173,4,27
174,5,27
175,6,27
176,7,27
177,8,27
178,9,27
179,10,27
180,11,27
181,12,27
182,13,27
183,13,26
184,13,25
185,13,24
186,13,23
187,12,23
188,11,23
189,11,22
190,11,21
191,12,21
192,13,21
193,14,21
194,15,21
195,15,20
196,15,19
197,16,19
198,17,19
199,18,19
200,19,19
201,20,19
202,21,19
203,22,19
204,23,19
205,23,18
206,23,17
207,24,17
208,25,17
209,25,18
210,25,19
211,25,20
212,25,21
213,26,21
214,27,21
215,27,20
216,27,19
