,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,20,3
34,21,3
35,22,3
36,23,3
37,23,4
38,23,5
39,22,5
40,21,5
41,21,6
42,21,7
43,20,7
44,19,7
45,19,8
46,19,9
47,18,9
48,17,9
49,17,10
50,17,11
51,18,11
52,19,11
53,20,11
54,21,11
55,21,10
56,21,9
57,22,9
58,23,9
59,24,9
60,25,9
61,25,8
62,25,7
63,25,6
64,25,5
65,26,5
66,27,5
67,28,5
68,29,5
69,30,5
70,31,5
71,32,5
72,33,5
73,34,5
74,35,5
75,35,6
76,35,7
77,34,7
78,33,7
79,33,8
80,33,9
81,32,9
82,31,9
83,30,9
84,29,9
85,29,8
86,29,7
87,28,7
88,29,7
89,28,7
90,27,7
91,27,8
92,27,9
93,27,10
94,27,11
95,27,12
96,27,13
97,28,13
98,29,13
99,29,14
100,29,15
101,28,15
102,27,15
103,26,15
104,25,15
105,24,15
106,23,15
107,23,14
108,23,13
109,22,13
110,21,13
111,21,14
112,21,15
113,20,15
114,19,15
115,19,16
116,19,17
117,19,16
118,19,17
119,18,17
120,17,17
121,16,17
122,15,17
123,14,17
124,13,17
125,12,17
126,11,17
127,11,16
128,11,15
129,11,14
130,11,13
131,10,13
132,9,13
133,9,14
134,9,15
135,8,15
136,7,15
137,7,16
138,7,17
139,7,18
140,7,19
141,8,19
142,9,19
143,9,20
144,9,21
145,8,21
146,7,21
147,6,21
148,5,21
149,5,20
150,5,19
151,4,19
152,3,19
153,3,18
154,3,17
155,3,16
156,3,15
157,2,15
158,1,15
159,1,16
160,1,17
161,1,18
162,1,19
163,1,20
164,1,21
165,2,21
166,3,21
167,3,22
168,3,23
169,3,24
170,3,25
171,2,25
172,1,25
173,1,26
174,1,27
175,2,27
176,3,27
177,4,27
178,5,27
179,6,27
180,7,27
181,8,27
182,9,27
183,10,27
184,11,27
185,12,27
186,13,27
187,13,26
188,13,25
189,13,24
190,13,23
191,13,24
192,13,23
193,12,23
194,13,23
195,12,23
196,11,23
197,11,22
198,11,21
199,12,21
200,13,21
201,14,21
202,13,21
203,14,21
204,15,21
205,15,20
206,15,19
207,16,19
208,17,19
209,18,19
210,19,19
211,20,19
212,21,19
213,22,19
214,23,19
215,23,18
216,23,17
